央视,#genre#
广西卫视,http://61.173.95.181:4022/udp/239.45.0.5:5140#http://101.83.74.79:8686/udp/239.45.0.5:5140#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb05]/ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8
吉林卫视,http://61.173.95.181:4022/udp/239.45.0.6:5140#http://101.83.74.79:8686/udp/239.45.0.6:5140#http://114.254.209.157:8888/rtp/239.3.1.240:8172#http://123.116.202.123:4022/rtp/239.3.1.240:8172#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
山西卫视,http://61.173.95.181:4022/udp/239.45.1.229:5140#http://101.83.74.79:8686/udp/239.45.1.229:5140#http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226009/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226392/index.m3u8
青海卫视,http://61.173.95.181:4022/udp/239.45.1.230:5140#http://101.83.74.79:8686/udp/239.45.1.230:5140#http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
西藏卫视,http://61.173.95.181:4022/udp/239.45.1.231:5140#http://101.83.74.79:8686/udp/239.45.1.231:5140#
陕西卫视,http://61.173.95.181:4022/udp/239.45.1.232:5140#http://101.83.74.79:8686/udp/239.45.1.232:5140#http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
云南卫视,http://61.173.95.181:4022/udp/239.45.0.4:5140#http://101.83.74.79:8686/udp/239.45.0.4:5140#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
甘肃卫视,http://61.173.95.181:4022/udp/239.45.1.234:5140#http://101.83.74.79:8686/udp/239.45.1.234:5140#v
内蒙古卫视,http://61.173.95.181:4022/udp/239.45.1.238:5140#http://101.83.74.79:8686/udp/239.45.1.238:5140#http://[2409:8087:1a0b:df::4017]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
河南卫视,http://61.173.95.181:4022/udp/239.45.0.3:5140#http://101.83.74.79:8686/udp/239.45.0.3:5140#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226480/index.m3u8
新疆卫视,http://61.173.95.181:4022/udp/239.45.1.116:5140#http://101.83.74.79:8686/udp/239.45.1.116:5140#http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://61.173.95.181:4022/udp/239.45.1.117:5140#http://101.83.74.79:8686/udp/239.45.1.117:5140#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
三沙卫视,http://61.173.95.181:4022/udp/239.45.1.82:5140#http://101.83.74.79:8686/udp/239.45.1.82:5140#
康巴卫视,http://61.173.95.181:4022/udp/239.45.1.251:5140#http://101.83.74.79:8686/udp/239.45.1.251:5140#
CETV1HD,http://114.254.209.157:8888/rtp/239.3.1.57:8152
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226510/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
